Material,Descripción de Mater,Descripción Larga,Ubicación,Stock Total,UMB,Stock Almacén,Centro,Almacén,Valor Total,Valoración,Precio Variable,Stock Especial,Categoria,Stock de seguridad,Valor Stock
1000000039,"ARAN., PLANA, 5/16"", GALV., 1/16""","ARANDELA DE APRIETE, PLANA, 5/16"", ACERO GALVANIZADO, 1/16""",2 08 01 B1,39.05,KG,4.75,EE60,1005,"2,703.53",RECOVERED,0,,REPUESTOS MECANICOS,5,0
1000000043,"ARAN., PLANA, 5/16"", GALV., 1/16""","ARANDELA DE APRIETE, PLANA, 5/16"", ACERO GALVANIZADO, 1/16""",2 08 01 B1,39.05,KG,0,EE60,1007,"2,703.53",AVG-COST,77.05,K,REPUESTOS MECANICOS,5,0
1000000046,"ARAN., PLANA, 5/16"", GALV., 1/16""","ARANDELA DE APRIETE, PLANA, 5/16"", ACERO GALVANIZADO, 1/16""",2 08 01 B1,39.05,KG,32.8,EE60,1007,"2,703.53",AVG-COST,78.82,K,REPUESTOS MECANICOS,5,"2,585.30"
1000000047,"ARANDELA PLANA, 7/16"", GALV., 1/16""","ARANDELA DE APRIETE, TIPO PLANA, 7/16"", MATERIAL ACERO GALVANIZADO, 1/16""",2 08 01 D1,2.9,KG,0,EE60,1007,250.21,AVG-COST,86.13,K,REPUESTOS MECANICOS,5,0
1000000048,"ARANDELA PLANA, 7/16"", GALV., 1/16""","ARANDELA DE APRIETE, TIPO PLANA, 7/16"", MATERIAL ACERO GALVANIZADO, 1/16""",2 08 01 D1,2.9,KG,2.9,EE60,1007,250.21,AVG-COST,86.28,K,REPUESTOS MECANICOS,5,250.21
1000000050,"ARAN., PLANA, 1/2"", ACERO GALV., 3/32""","ARANDELA DE APRIETE, PLANA, 1/2"", ACERO GALVANIZADO, 3/32""",1 08 01 E1,54.25,KG,0.4,EE60,1000,"4,694.72",AVG-COST,121.35,,REPUESTOS MECANICOS,45,48.54
1000000057,"ARAN., PLANA, 1/2"", ACERO GALV., 3/32""","ARANDELA DE APRIETE, PLANA, 1/2"", ACERO GALVANIZADO, 3/32""",1 08 01 E1,54.25,KG,0,EE60,1005,"4,694.72",RECOVERED,0,,REPUESTOS MECANICOS,45,0
1000000070,"ARAN., PLANA, 1/2"", ACERO GALV., 3/32""","ARANDELA DE APRIETE, PLANA, 1/2"", ACERO GALVANIZADO, 3/32""",2 08 01 E1,54.25,KG,0,EE60,1007,"4,694.72",AVG-COST,86.13,K,REPUESTOS MECANICOS,45,0
1000000072,"ARAN., PLANA, 1/2"", ACERO GALV., 3/32""","ARANDELA DE APRIETE, PLANA, 1/2"", ACERO GALVANIZADO, 3/32""",2 08 01 E1,54.25,KG,53.85,EE60,1007,"4,694.72",AVG-COST,86.28,K,REPUESTOS MECANICOS,45,"4,646.18"
1000000073,"ARANDELA PLANA, 7/8"", GALV., 9/64""","ARANDELA DE APRIETE, TIPO PLANA, 7/8"", MATERIAL ACERO GALVANIZADO, 9/64""",2 08 01 H1,15.3,KG,7.4,EE60,1007,"2,768.94",AVG-COST,86.28,K,REPUESTOS MECANICOS,10,638.47
1000000077,"ARANDELA PLANA, 7/8"", GALV., 9/64""","ARANDELA DE APRIETE, TIPO PLANA, 7/8"", MATERIAL ACERO GALVANIZADO, 9/64""",2 08 01 H1,15.3,KG,0,EE60,1007,"2,768.94",AVG-COST,86.13,K,REPUESTOS MECANICOS,10,0
1000000086,"ARANDELA PLANA, 7/8"", GALV., 9/64""","ARANDELA DE APRIETE, TIPO PLANA, 7/8"", MATERIAL ACERO GALVANIZADO, 9/64""",2 08 01 H1,15.3,KG,7.9,EE60,1007,"2,768.94",AVG-COST,269.68,,REPUESTOS MECANICOS,10,"2,130.47"
1000000087,"ARAN., PRESION, 1/4"", CS, 1/32"",SAE 1050","ARANDELA DE APRIETE, PRESION, 1/4"", ACERO AL CARBONO, SAE 1050, 1/32""",1 08 02 C1,97,EA,0,EE60,1005,11.64,RECOVERED,0,,REPUESTOS MECANICOS,35,0
1000000096,"ARAN., PRESION, 1/4"", CS, 1/32"",SAE 1050","ARANDELA DE APRIETE, PRESION, 1/4"", ACERO AL CARBONO, SAE 1050, 1/32""",2 08 02 C1,97,EA,0,EE60,1007,11.64,AVG-COST,0.15,,REPUESTOS MECANICOS,35,0
1000000098,"ARAN., PRESION, 1/4"", CS, 1/32"",SAE 1050","ARANDELA DE APRIETE, PRESION, 1/4"", ACERO AL CARBONO, SAE 1050, 1/32""",2 08 02 C1,97,EA,0,EE60,1007,11.64,AVG-COST,0.15,K,REPUESTOS MECANICOS,35,0
1000000111,"ARAN., PRESION, 1/4"", CS, 1/32"",SAE 1050","ARANDELA DE APRIETE, PRESION, 1/4"", ACERO AL CARBONO, SAE 1050, 1/32""",2 08 02 C1,97,EA,97,EE60,1007,11.64,AVG-COST,0.12,K,REPUESTOS MECANICOS,35,11.64
1000000124,"ARAN., PRESION, 5/16"", CS","ARANDELA DE APRIETE, PRESION, 5/16"", CS",11901A02,"7,846.00",EA,"7,846.00",EE60,1000,"1,098.44",AVG-COST,0.14,,REPUESTOS MECANICOS,0,"1,098.44"
1000000186,"ARANDELA DE APRIETE, PRESION, 3/8"", CS,","ARANDELA DE APRIETE, PRESION, 3/8"", CS, DIN 128",1 08 02 C3,334,EA,50,EE60,1005,76.68,RECOVERED,0,,REPUESTOS MECANICOS,354,0
1000000188,"ARANDELA DE APRIETE, PRESION, 3/8"", CS,","ARANDELA DE APRIETE, PRESION, 3/8"", CS, DIN 128",2 08 02 C3,334,EA,0,EE60,1007,76.68,AVG-COST,0.34,K,REPUESTOS MECANICOS,354,0
1000000189,"ARANDELA DE APRIETE, PRESION, 3/8"", CS,","ARANDELA DE APRIETE, PRESION, 3/8"", CS, DIN 128",2 08 02 C3,334,EA,284,EE60,1007,76.68,AVG-COST,0.27,K,REPUESTOS MECANICOS,354,76.68
1000000211,"ARAN., PRESION, 1/2"", CS, DIN 128","ARANDELA DE APRIETE, PRESION, 1/2"", CS, DIN 128",1 08 02 D1,357,EA,194,EE60,1000,216.71,AVG-COST,0.65,,REPUESTOS MECANICOS,190,127.06
1000000212,"ARAN., PRESION, 1/2"", CS, DIN 128","ARANDELA DE APRIETE, PRESION, 1/2"", CS, DIN 128",2 08 02 D1,357,EA,0,EE60,1007,216.71,AVG-COST,0.7,K,REPUESTOS MECANICOS,190,0
1000000230,"ARAN., PRESION, 1/2"", CS, DIN 128","ARANDELA DE APRIETE, PRESION, 1/2"", CS, DIN 128",2 08 02 D1,357,EA,163,EE60,1007,216.71,AVG-COST,0.55,K,REPUESTOS MECANICOS,190,89.65
1000000250,"ARAN., PRESION, 5/8"", CS, 5/32""","ARANDELA DE APRIETE, PRESION, 5/8"", ACERO AL CARBONO SAE 1050, 5/32""",2 08 02 D2,656.7,EA,0,EE60,1007,669.83,AVG-COST,0.22,K,REPUESTOS MECANICOS,263,0
1000000253,"ARAN., PRESION, 5/8"", CS, 5/32""","ARANDELA DE APRIETE, PRESION, 5/8"", ACERO AL CARBONO SAE 1050, 5/32""",2 08 02 D2,656.7,EA,656.7,EE60,1007,669.83,AVG-COST,1.02,K,REPUESTOS MECANICOS,263,669.83
1000000254,"ARAN., PRESION, 3/4"", CS, 5/32""","ARANDELA DE APRIETE, PRESION REGULAR, 3/4"", CS, 5/32""",2 08 02 E1,545.7,EA,0,EE60,1007,905.86,AVG-COST,2.1,K,REPUESTOS MECANICOS,270,0
1000000255,"ARAN., PRESION, 3/4"", CS, 5/32""","ARANDELA DE APRIETE, PRESION REGULAR, 3/4"", CS, 5/32""",2 08 02 E1,545.7,EA,545.7,EE60,1007,905.86,AVG-COST,1.66,K,REPUESTOS MECANICOS,270,905.86
1000000292,"ABRAZADERA, U120 114, OTHEC, 1-1/4"", UÑA","ABRAZADERA, DIAMETRO 1-1/4"", TIPO UÑA, OTHEC MEXICANA U120 114, MATERIAL ACERO GALVANIZADO",Falta ubicación,0,EA,0,EE60,1000,0,AVG-COST,4.97,,REPUESTOS MECANICOS,0,0
1000000346,"ARANDELA PRESION, 7/8"", CS , 3/16""","ARANDELA DE APRIETE, TIPO PRESION, 7/8"", MATERIAL ACERO AL CARBONO ASTM A307, 3/16""",Falta ubicación,0,EA,0,EE60,1011,0,AVG-COST,3.36,,REPUESTOS MECANICOS,0,0
1000000350,"ARANDELA PRESION, 7/8"", CS , 3/16""","ARANDELA DE APRIETE, TIPO PRESION, 7/8"", MATERIAL ACERO AL CARBONO ASTM A307, 3/16""",2 08 02 E2,0,EA,0,EE60,1007,0,AVG-COST,3.74,K,REPUESTOS MECANICOS,0,0
1000000357,"ARANDELA PRESION, 7/8"", CS , 3/16""","ARANDELA DE APRIETE, TIPO PRESION, 7/8"", MATERIAL ACERO AL CARBONO ASTM A307, 3/16""",2 08 02 E2,0,EA,0,EE60,1007,0,AVG-COST,3.26,K,REPUESTOS MECANICOS,0,0
1000000454,"ARANDELA PRESION, 7/8"", CS , 3/16""","ARANDELA DE APRIETE, TIPO PRESION, 7/8"", MATERIAL ACERO AL CARBONO ASTM A307, 3/16""",2 08 02 E2,0,EA,0,EE60,1007,0,AVG-COST,3.36,,REPUESTOS MECANICOS,0,0
1000000544,"ARANDELA PRESION, 1"", CS, 1/4""","ZDEL ARANDELA DE APRIETE, TIPO PRESION, 1"""", MATERIAL ACERO AL CARBONO SAE 1050, 1/4""""""",1 08 02 F1,68,EA,30,EE60,1005,167.58,RECOVERED,0,,REPUESTOS MECANICOS,24,0
1000000547,"ARANDELA PRESION, 1"", CS, 1/4""","ZDEL ARANDELA DE APRIETE, TIPO PRESION, 1"""", MATERIAL ACERO AL CARBONO SAE 1050, 1/4""""""",2 08 02 F1,68,EA,0,EE60,1007,167.58,AVG-COST,1.37,,REPUESTOS MECANICOS,24,0
1000000659,"ARANDELA PRESION, 1"", CS, 1/4""","ZDEL ARANDELA DE APRIETE, TIPO PRESION, 1"""", MATERIAL ACERO AL CARBONO SAE 1050, 1/4""""""",2 08 02 F1,68,EA,0,EE60,1007,167.58,AVG-COST,4.74,K,REPUESTOS MECANICOS,24,0
1000000692,"ARANDELA PRESION, 1"", CS, 1/4""","ZDEL ARANDELA DE APRIETE, TIPO PRESION, 1"""", MATERIAL ACERO AL CARBONO SAE 1050, 1/4""""""",2 08 02 F1,68,EA,38,EE60,1007,167.58,AVG-COST,4.41,K,REPUESTOS MECANICOS,24,167.58
1000000701,"TUERCA, 1"", 8 UNC, HEX., GR B","TUERCA, TIPO HEXAGONAL, 1"", ROSCA 8 UNC, GR B, ACERO AL CARBONO ASTM A563, DIN 834",1 08 03 H1,313,EA,7,EE60,1000,"3,538.29",AVG-COST,13.98,,HERRAMIENTAS Y FERRETERIA,206,97.88
1000000718,"TUERCA, 1"", 8 UNC, HEX., GR B","TUERCA, TIPO HEXAGONAL, 1"", ROSCA 8 UNC, GR B, ACERO AL CARBONO ASTM A563, DIN 834",1 08 03 H1,313,EA,1,EE60,1005,"3,538.29",RECOVERED,0.01,,HERRAMIENTAS Y FERRETERIA,206,0.01
1000000719,"TUERCA, 1"", 8 UNC, HEX., GR B","TUERCA, TIPO HEXAGONAL, 1"", ROSCA 8 UNC, GR B, ACERO AL CARBONO ASTM A563, DIN 834",1 08 03 H1,313,EA,0,EE60,1007,"3,538.29",AVG-COST,13.47,K,HERRAMIENTAS Y FERRETERIA,206,0
1000000779,"TUERCA, 1"", 8 UNC, HEX., GR B","TUERCA, TIPO HEXAGONAL, 1"", ROSCA 8 UNC, GR B, ACERO AL CARBONO ASTM A563, DIN 834",1 08 03 H1,313,EA,305,EE60,1007,"3,538.29",AVG-COST,11.28,K,HERRAMIENTAS Y FERRETERIA,206,"3,440.40"
1000000790,"ABRASIVO HOJA,GRANO GRUESO, 11"" X 9"",","ABRASIVO EN HOJA, GRANO GRUESO, 11"" LG X 9"" WD, FANDELI 042020006, MODELO  02333 00068 J-73",1 06 04 A1,47,EA,46.28,EE60,1007,517.33,AVG-COST,11.07,K,HERRAMIENTAS Y FERRETERIA,50,512.32
1000000793,"ABRASIVO HOJA,GRANO GRUESO, 11"" X 9"",","ABRASIVO EN HOJA, GRANO GRUESO, 11"" LG X 9"" WD, FANDELI 042020006, MODELO  02333 00068 J-73",1 06 04 A1,47,EA,0.72,EE60,1007,517.33,AVG-COST,6.96,K,HERRAMIENTAS Y FERRETERIA,50,5.01
1000000795,"ABRASIVO CINTA, ALO X-86, FANDELI, 320","ABRASIVO EN CINTA, FANDELI ALO X-86, GRANO 320, 4"" WD X 45.72 M LG",1 06 04 B2,10,M,10,EE60,1000,307.49,AVG-COST,30.75,,HERRAMIENTAS Y FERRETERIA,0,307.49
1000000845,"ABRASIVO CINTA, ALO X-86, FANDELI, 320","ABRASIVO EN CINTA, FANDELI ALO X-86, GRANO 320, 4"" WD X 45.72 M LG",1 06 04 B2,10,M,0,EE60,1007,307.49,AVG-COST,"1,568.23",K,HERRAMIENTAS Y FERRETERIA,0,0
1000000860,"CONECTOR CONDUIT, CGB293, C.HINDS, 3/4""","CONECTOR CONDUIT, 3/4"", COOPER CROUSE HINDS CGB293; COOPER CROUSE HINDS DOMEX CGB-293, COOPER CROUSE HINDS CGB293; COOPER CROUSE D",1 04 01 C4,19,EA,5,EE60,1000,"4,446.40",AVG-COST,316.43,,REPUESTOS ELECTRICOS Y ELECTRO,8,"1,582.13"
1000000884,"CONECTOR CONDUIT, CGB293, C.HINDS, 3/4""","CONECTOR CONDUIT, 3/4"", COOPER CROUSE HINDS CGB293; COOPER CROUSE HINDS DOMEX CGB-293, COOPER CROUSE HINDS CGB293; COOPER CROUSE D",1 04 01 C4,19,EA,5,EE60,1007,"4,446.40",AVG-COST,316.43,,REPUESTOS ELECTRICOS Y ELECTRO,8,"1,582.13"
1000000908,"CONECTOR CONDUIT, CGB293, C.HINDS, 3/4""","CONECTOR CONDUIT, 3/4"", COOPER CROUSE HINDS CGB293; COOPER CROUSE HINDS DOMEX CGB-293, COOPER CROUSE HINDS CGB293; COOPER CROUSE D",1 04 01 C4,19,EA,9,EE60,1007,"4,446.40",AVG-COST,142.46,K,REPUESTOS ELECTRICOS Y ELECTRO,8,"1,282.14"
1000000915,"CINTA ELEC., 3M SCOTCH SUPER 33,AISLANTE","CINTA ELECTRICA, 3M 80-6108-3380-0, MARCA SCOTCH SUPER 33, VINIL",1 04 02 E1,59,EA,59,EE60,1007,"4,390.19",AVG-COST,74.41,K,HERRAMIENTAS Y FERRETERIA,210,"4,390.19"
1000000947,"CINTA ELEC., 3M SCOTCH SUPER 33,AISLANTE","CINTA ELECTRICA, 3M 80-6108-3380-0, MARCA SCOTCH SUPER 33, VINIL",1 04 02 E1,59,EA,0,EE60,1007,"4,390.19",AVG-COST,107.69,,HERRAMIENTAS Y FERRETERIA,210,0
1000000996,"CINTA ELEC., 3M SCOTCH SUPER 33,AISLANTE","CINTA ELECTRICA, 3M 80-6108-3380-0, MARCA SCOTCH SUPER 33, VINIL",1 04 02 E1,59,EA,0,EE60,1000,"4,390.19",AVG-COST,107.69,,HERRAMIENTAS Y FERRETERIA,210,0
1000000997,"EMPAQUE RED., 920, EMPAK, 3/4"", ASBESTO","EMPAQUETADURA CORDON, EMPACK EMPAK 920, 3/4"" OD, ASBESTO, REDONDO",1 06 05 H1,16,KG,16,EE60,1007,"13,004.67",AVG-COST,812.79,K,REPUESTOS MECANICOS,0,"13,004.67"
1000001001,"CONEXION CONDUIT, CT34, ANCLO, 3/4"", CON","CONEXION/ADAPTADOR CONDUIT, 3/4"", TIPO CONTRATUERCA, ACERO GALVANIZADO, ANCLO CT34, ANCLO CT34",1 12 02 E1,112,EA,112,EE60,1005,0,RECOVERED,0,,REPUESTOS MECANICOS,0,0
1000001012,"REACTIVO, ETHYLIC ALCOHOL, LIQ., 99.2%","REACTIVO QUIMICO, TIPO ETHYLIC ALCOHOL, LIQUID, PUREZA 99.2%",JAULA LABO,80,L,80,EE60,1000,"29,103.44",AVG-COST,363.79,,"MATERIALES, OTROS",240,"29,103.44"
1000001017,"PAPEL FILTRO,90 MM,41,WHATMAN,1441""","ZDEL PAPEL FILTRO, DIMENSIONES 90 MM OD, NUMERO 41, WHATMAN, 1441 090""",1 17 01 C1,2,EA,2,EE60,1005,0,RECOVERED,0,,LABORATORIO,0,0
1000001018,"REACTIVO, 818709, MERCK, GLYCERINE, SOLU","REACTIVO QUIMICO, MERCK PARTE 818709, TIPO GLYCERINE, SOLUCION, PUREZA 99%",1 38 07 D2,120,L,120,EE60,1000,"52,303.23",AVG-COST,435.86,,"MATERIALES, OTROS",40,"52,303.23"
1000001019,"REACTIVO, 818709, MERCK, GLYCERINE, SOLU","REACTIVO QUIMICO, MERCK PARTE 818709, TIPO GLYCERINE, SOLUCION, PUREZA 99%",1 38 07 D2,120,L,0,EE60,1000,"52,303.23",AVG-COST,237,K,"MATERIALES, OTROS",40,0
1000001030,"ARENA LAB.,GRADUADA,50LB,ASTM-C-778","CAS 14808-60-7 LA ARENA DEBE SER DE CUARZO, DE GRANO REDONDEADO Y DESPULIDO, DEBE CUMPLIR CON LA SIGUIENTE CLASIFICACION: % RETENI",1 44 01 D1,1,EA,0,EE60,1000,"2,215.10",AVG-COST,"2,731.16",,LABORATORIO,15,0
1000001033,"ARENA LAB.,GRADUADA,50LB,ASTM-C-778","CAS 14808-60-7 LA ARENA DEBE SER DE CUARZO, DE GRANO REDONDEADO Y DESPULIDO, DEBE CUMPLIR CON LA SIGUIENTE CLASIFICACION: % RETENI",1 44 01 D1,1,EA,1,EE60,1000,"2,215.10",AVG-COST,"2,215.10",K,LABORATORIO,15,"2,215.10"
1000001044,"GAS IND., 90% ARGON / 10% METANO, INFRA","GAS INDUSTRIAL, TIPO 90% ARGON, 10% METANO, INFRA",3 50 03 A1,0,EA,0,EE60,1000,0,AVG-COST,"17,500.00",,"SOLDADURA, EQUIPOS, GASES Y MA",0,0
1000001077,"CAJA CONDUIT, FS2SA + DS 100G, C.HINDS","CAJA CONDUIT, COOPER CROUSE HINDS FS-2-SA + DS 100G, FS, 70 MM WD X 110 MM LG X 50 MM HT, DIAMETRO 3/4"" NPT, CS, TAPA TAPA CIEGA",1 12 02 F2,32,EA,26,EE60,1000,"4,442.53",AVG-COST,170.87,,REPUESTOS ELECTRICOS Y ELECTRO,20,"4,442.53"
1000001079,"CAJA CONDUIT, FS2SA + DS 100G, C.HINDS","CAJA CONDUIT, COOPER CROUSE HINDS FS-2-SA + DS 100G, FS, 70 MM WD X 110 MM LG X 50 MM HT, DIAMETRO 3/4"" NPT, CS, TAPA TAPA CIEGA",1 12 02 F2,32,EA,6,EE60,1005,"4,442.53",RECOVERED,0,,REPUESTOS ELECTRICOS Y ELECTRO,20,0
1000001105,"EMPAQUE CINTA, 52107, GARLOCK, 1/2"", PTF","EMPAQUETADURA CORDON, GARLOCK 52107, MARCA 06C2NPLTH110, 1/2"" X 520"" LG, PTFE, CINTA",1 07 05 A2,35,EA,35,EE60,1007,"2,260.99",AVG-COST,64.6,K,REPUESTOS MECANICOS,27,"2,260.99"
1000001116,"SUJETACABLE, ACT 300-4, OTHEC","SUJETACABLE ELECTRICO, OTHEC CATALOGO ACT 300-4",1 04 02 B1,"1,196.00",EA,0,EE60,1005,920.92,RECOVERED,0,,REPUESTOS ELECTRICOS Y ELECTRO,"1,722.00",0
1000001136,"SUJETACABLE, ACT 300-4, OTHEC","SUJETACABLE ELECTRICO, OTHEC CATALOGO ACT 300-4",1 04 02 B1,"1,196.00",EA,"1,196.00",EE60,1007,920.92,AVG-COST,0.77,K,REPUESTOS ELECTRICOS Y ELECTRO,"1,722.00",920.92
1000001177,"SUJETACABLE, ACT 370-4, OTHEC","SUJETACABLE ELECTRICO, OTHEC CATALOGO ACT 370-4",1 04 02 A4,"1,033.00",EA,"1,033.00",EE60,1007,929.7,AVG-COST,0.9,K,REPUESTOS ELECTRICOS Y ELECTRO,720,929.7
1000001178,"CABLE CS, 1/2"", FIBRA TEXTIL, DE ACERO","CABLE ACERO, 6 X 19, 1/2"", ALMA FIBRA TEXTIL, TORCIDO DERECHA, ARREGLO FILLER",1 38 07 D6,200,M,0,EE60,1000,"13,594.00",AVG-COST,157.82,,ACEROS,160,0
1000001187,"CABLE CS, 1/2"", FIBRA TEXTIL, DE ACERO","CABLE ACERO, 6 X 19, 1/2"", ALMA FIBRA TEXTIL, TORCIDO DERECHA, ARREGLO FILLER",2 38 07 D6,200,M,0,EE60,1007,"13,594.00",AVG-COST,80.27,K,ACEROS,160,0
1000001206,"CABLE CS, 1/2"", FIBRA TEXTIL, DE ACERO","CABLE ACERO, 6 X 19, 1/2"", ALMA FIBRA TEXTIL, TORCIDO DERECHA, ARREGLO FILLER",2 38 07 D6,200,M,200,EE60,1007,"13,594.00",AVG-COST,67.97,K,ACEROS,160,"13,594.00"
1000001239,"CLAVO, 4"", CS","CLAVO METALICO, 4"", CS",1 18 01 D1,0,KG,0,EE60,1000,0,AVG-COST,27.59,,REPUESTOS MECANICOS,0,0
1000001243,"PILA, DURACELL  1.5 VDC TAMAÑO ""AAA""","PILA SECA, DURACELL MODELO MN2400, 1.5 VDC, TAMAÑO AAA",1 04 08 A1,113,EA,76,EE60,1000,"2,184.57",AVG-COST,19.83,,REPUESTOS ELECTRICOS Y ELECTRO,46,"1,507.02"
1000001281,"PILA, DURACELL  1.5 VDC TAMAÑO ""AAA""","PILA SECA, DURACELL MODELO MN2400, 1.5 VDC, TAMAÑO AAA",1 04 08 A1,113,EA,1,EE60,1007,"2,184.57",AVG-COST,19.83,,REPUESTOS ELECTRICOS Y ELECTRO,46,19.83
1000001284,"PILA, DURACELL  1.5 VDC TAMAÑO ""AAA""","PILA SECA, DURACELL MODELO MN2400, 1.5 VDC, TAMAÑO AAA",1 04 08 A1,113,EA,36,EE60,1007,"2,184.57",AVG-COST,18.27,K,REPUESTOS ELECTRICOS Y ELECTRO,46,657.72
1000001294,"PILA, DURACELL, MN1604, 9 VDC","PILA SECA, DURACELL MODELO MN1604, 9 VDC",10201B01,6,EA,6,EE60,1000,447,AVG-COST,74.5,K,REPUESTOS ELECTRICOS Y ELECTRO,4,447
1000001296,"PILA, DURACELL, MN1604, 9 VDC","PILA SECA, DURACELL MODELO MN1604, 9 VDC",2 48 01 B1,6,EA,0,EE60,1007,447,AVG-COST,74.5,K,REPUESTOS ELECTRICOS Y ELECTRO,4,0
1000001299,"PILA,DURACELL MN1500 TURBO, 1.5 VDC, AA,","PILA SECA, DURACELL MN1500 TURBO, 1.5 VDC, TAMAÑO AA, TIPO ALCALINA,",10201B03,41,EA,40,EE60,1000,879.43,AVG-COST,21.61,,REPUESTOS ELECTRICOS Y ELECTRO,21,864.53
1000001308,"PILA,DURACELL MN1500 TURBO, 1.5 VDC, AA,","PILA SECA, DURACELL MN1500 TURBO, 1.5 VDC, TAMAÑO AA, TIPO ALCALINA,",1 04 08 A2,41,EA,0,EE60,1007,879.43,AVG-COST,21.61,,REPUESTOS ELECTRICOS Y ELECTRO,21,0
1000001314,"PILA,DURACELL MN1500 TURBO, 1.5 VDC, AA,","PILA SECA, DURACELL MN1500 TURBO, 1.5 VDC, TAMAÑO AA, TIPO ALCALINA,",1 04 08 A2,41,EA,1,EE60,1007,879.43,AVG-COST,14.9,K,REPUESTOS ELECTRICOS Y ELECTRO,21,14.9
1000001377,"BOLSA, 30 CM WD X 45 CM LG, POLIETILENO","BOLSA USO GENERAL, 30 CM WD X 45 CM LG, POLIETILENO DENSIDAD 400, TRANSPARENTE, POLIETILENOS ALFA",1 18 07 F1,50,KG,50,EE60,1000,"4,857.00",AVG-COST,97.14,,"LIMPIEZA, MATERIALES Y SERVICI",150,"4,857.00"
